goos,goarch,cpu,cell,goyara_mb_s,yarax_mb_s,ratio,goyara_b_op,yarax_b_op,goyara_allocs_op,yarax_allocs_op,matched_rules,match_fingerprint
darwin,arm64,Apple M3 Max,regex_set_16/punct_dense/match_sparse/16KiB,6805.790,8309.770,0.819011,1080.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_dense/match_sparse/256KiB,45397.110,9826.740,4.619753,1080.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_sparse/match_dense/1024KiB,7.260,242.390,0.029952,1592.000,24.000,38.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_sparse/match_dense/16KiB,7.150,220.890,0.032369,1592.000,24.000,38.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_sparse/match_dense/256KiB,7.280,238.470,0.030528,1592.000,24.000,38.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_sparse/match_sparse/1024KiB,71551.090,9732.210,7.351988,1080.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_sparse/match_sparse/16KiB,6852.490,8362.290,0.819451,1080.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,regex_set_16/punct_sparse/match_sparse/256KiB,45029.080,10054.910,4.478318,1080.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,set_quantifier/punct_dense/match_dense/1024KiB,378.370,572.040,0.661440,15793896.000,741224.000,105.000,123.000,1,1138714548
darwin,arm64,Apple M3 Max,set_quantifier/punct_dense/match_dense/16KiB,365.370,523.840,0.697484,171745.000,7763.000,53.000,81.000,1,1138714548
darwin,arm64,Apple M3 Max,set_quantifier/punct_dense/match_dense/256KiB,352.860,580.710,0.607635,3227371.000,117591.000,80.000,102.000,1,1138714548
darwin,arm64,Apple M3 Max,set_quantifier/punct_dense/match_sparse/1024KiB,2050.320,1248.200,1.642621,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,set_quantifier/punct_dense/match_sparse/16KiB,1976.720,1234.140,1.601698,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,set_quantifier/punct_dense/match_sparse/256KiB,2024.980,1230.680,1.645416,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,set_quantifier/punct_sparse/match_dense/1024KiB,373.420,552.650,0.675690,15843043.000,741223.000,105.000,123.000,1,1138714548
darwin,arm64,Apple M3 Max,set_quantifier/punct_sparse/match_dense/16KiB,363.720,492.120,0.739088,171745.000,8789.000,53.000,82.000,1,1138714548
darwin,arm64,Apple M3 Max,set_quantifier/punct_sparse/match_dense/256KiB,352.340,557.070,0.632488,3235564.000,171853.000,80.000,106.000,1,1138714548
darwin,arm64,Apple M3 Max,set_quantifier/punct_sparse/match_sparse/1024KiB,1041.130,833.040,1.249796,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,set_quantifier/punct_sparse/match_sparse/16KiB,1019.960,854.310,1.193899,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,set_quantifier/punct_sparse/match_sparse/256KiB,1043.760,827.650,1.261113,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,string_count/punct_dense/match_dense/1024KiB,359.800,829.150,0.433938,27271594.000,1210209.000,53.000,44.000,1,2184666812
darwin,arm64,Apple M3 Max,string_count/punct_dense/match_dense/16KiB,399.750,781.240,0.511687,270753.000,16999.000,28.000,33.000,1,2184666812
darwin,arm64,Apple M3 Max,string_count/punct_dense/match_dense/256KiB,358.310,839.920,0.426600,5136807.000,259940.000,41.000,39.000,1,2184666812
darwin,arm64,Apple M3 Max,string_count/punct_dense/match_sparse/1024KiB,86476.860,9738.160,8.880205,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,string_count/punct_dense/match_sparse/16KiB,38159.510,9432.010,4.045745,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,string_count/punct_dense/match_sparse/256KiB,77679.440,9932.440,7.820781,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,string_count/punct_sparse/match_dense/1024KiB,351.180,793.580,0.442526,27312549.000,1587040.000,53.000,45.000,1,2184666812
darwin,arm64,Apple M3 Max,string_count/punct_sparse/match_dense/16KiB,389.080,766.100,0.507871,270753.000,17000.000,28.000,33.000,1,2184666812
darwin,arm64,Apple M3 Max,string_count/punct_sparse/match_dense/256KiB,286.470,824.570,0.347417,6848936.000,259939.000,43.000,39.000,1,2184666812
darwin,arm64,Apple M3 Max,string_count/punct_sparse/match_sparse/1024KiB,4018.980,9738.970,0.412670,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,string_count/punct_sparse/match_sparse/16KiB,3748.120,9430.110,0.397463,352.000,24.000,4.000,1.000,0,0
darwin,arm64,Apple M3 Max,string_count/punct_sparse/match_sparse/256KiB,3993.010,9989.120,0.399736,352.000,24.000,4.000,1.000,0,0
